#{"t_start": 1700577337.572345, "env_id": "None"}
r,l,t
1663.696828,512,709.185035
1795.794642,558,710.44129
610.928451,140,710.923698
868.090851,254,711.61437
1474.302073,538,712.84949
133.939918,30,713.128274
744.393842,248,713.80629
2179.943933,544,715.823334
1172.320672,307,716.621609
937.453547,255,717.470094
2711.846826,805,719.261589
591.248846,161,719.775876
3525.962546,1001,721.906608
2145.517231,690,723.448671
1407.078177,385,724.461011
1508.274417,409,726.23627
259.963458,111,726.671388
1891.414765,580,727.97422
3052.294111,768,729.651216
1825.962631,639,731.095272
484.371598,129,731.564058
855.458502,374,732.495852
1363.580411,392,733.445465
630.715021,191,734.026292
2576.91494,814,735.772585
869.610996,201,737.166368
290.151135,75,737.523998
214.629151,88,737.908325
1186.713572,366,738.815224
3201.917446,910,740.721682
1426.177883,366,741.647339
734.266245,184,742.215194
3326.060189,882,744.105792
1071.175299,358,745.005859
754.159573,190,745.583551
440.786955,143,746.064337
2019.862071,496,747.997987
144.44443,75,748.364582
295.516935,173,748.906143
105.856998,25,749.176706
1151.417624,295,749.951136
1538.932026,398,750.917282
797.306702,232,751.568317
589.033711,138,752.04021
3735.904356,1001,754.122953
2264.637234,560,755.385191
84.164001,33,755.666692
1049.929023,371,756.57451
788.860392,226,757.222076
363.323462,86,757.614421
1260.874402,316,758.432706
889.130284,223,759.887654
3482.123242,927,761.893851
3447.402338,1001,764.007301
3433.444952,1001,766.103847
763.375459,244,766.777429
2675.409422,794,768.501136
1649.655504,428,770.357163
374.787255,91,770.756403
515.604625,170,771.328703
892.892846,245,772.008788
580.18756,136,772.506038
795.077119,252,773.258359
3749.910328,1001,775.38193
253.530403,103,775.796106
593.883368,206,776.396151
1784.302657,513,777.570098
588.537524,186,778.133806
333.241914,184,778.692965
907.043173,325,779.533096
856.124721,236,780.203806
630.342058,178,781.559971
1001.002469,253,782.242221
916.781932,233,782.88485
917.924616,367,783.78948
1628.495601,415,784.782503
1046.113794,263,785.479044
3238.294704,1001,787.613251
641.752992,190,788.191973
684.710323,216,788.806068
718.18632,262,789.573251
1893.847815,689,791.099083
981.547984,245,792.558569
1287.808476,350,793.426914
1269.968233,299,794.22627
826.138178,212,794.848229
944.267554,249,795.556143
1641.537411,424,796.58746
1976.464254,522,797.876946
1053.264087,288,798.655903
1370.180895,482,799.794596
735.374744,190,800.360347
1093.193991,331,801.236125
505.359316,121,801.683474
1254.149147,354,802.571043
1068.402268,280,804.187291
936.6425,293,805.001847
2573.845801,717,806.599857
1594.382933,473,807.710014
2536.309844,695,809.235593
2331.043237,693,810.750591
2279.717728,603,812.100463
1264.336025,396,813.06819
1093.466083,356,814.753868
2444.733248,709,816.294845
624.425652,180,816.839507
291.870961,89,817.220369
838.036705,195,817.796153
2038.336066,600,819.130871
830.636059,371,820.033539
2417.56678,866,821.857136
1006.500456,303,822.636767
895.296596,275,823.371438
1913.884422,556,825.419664
77.573303,29,825.695407
599.189317,159,826.21079
1158.269778,327,827.041695
2474.862821,692,828.555792
403.525736,116,828.977628
136.33138,40,829.268131
1445.789609,371,830.170663
495.306915,116,830.595013
