#{"t_start": 1700581233.034122, "env_id": "None"}
r,l,t
36.774771,1001,782.503181
17.679135,798,784.222374
49.984057,366,785.114177
43.364677,1001,787.173455
58.507935,1001,789.249331
37.25572,1001,792.355114
26.035812,756,794.028035
13.416088,342,794.911589
51.788319,876,796.813905
8.048367,79,797.193979
33.032119,1001,799.372542
51.684414,1001,802.502569
68.224195,1001,804.58401
8.716005,238,805.238675
0.306657,83,805.61936
12.978662,575,806.965662
41.131825,553,808.231444
3.438692,287,808.991975
74.473005,1001,812.169125
81.409605,1001,814.217746
24.132798,491,815.331576
33.207355,614,816.68022
91.281886,1001,818.724914
59.497476,1001,821.774083
19.456223,389,822.743441
41.869401,1001,824.883319
51.048426,1001,827.026217
48.980039,774,828.750948
47.584074,687,831.205867
15.961405,649,832.62737
44.339264,1001,834.767772
5.776519,261,835.492228
25.858464,549,836.803007
11.164947,118,837.299087
17.140098,937,839.314988
5.817086,219,839.946804
18.937017,485,842.21516
33.524453,488,843.359798
78.416664,1001,845.495779
58.381736,1001,847.592008
48.336445,1001,849.700814
17.069992,521,851.892359
36.892096,1001,854.021699
27.330943,338,854.876198
23.17318,194,855.448267
12.611808,555,856.688638
20.314955,274,857.403363
33.113813,490,858.509823
8.736749,207,859.103835
15.88317,305,859.881216
26.058541,455,860.93215
13.527014,629,863.381676
27.875491,521,864.554799
40.473521,689,866.084925
4.245044,94,866.529013
3.225185,143,867.051312
30.422304,484,868.245081
109.168703,1001,870.385007
61.612864,1001,873.641085
30.382981,852,875.54351
40.044691,718,877.14011
0.515067,94,877.532564
17.875087,1001,879.66381
23.789827,493,880.826538
46.146009,1001,883.903398
65.572774,773,885.534992
43.150325,998,887.620417
3.370619,70,887.986234
36.355545,917,889.968096
74.09158,1001,893.045308
59.53969,1001,895.249296
69.16075,971,897.297492
6.710345,290,898.058563
4.961626,414,899.07009
61.801215,592,900.402301
41.067535,374,901.388563
78.669332,1001,904.466268
48.783589,1001,906.535577
13.170857,209,907.143231
42.891829,458,908.218993
51.351677,558,909.524108
40.824888,539,910.767163
6.001226,46,911.074461
39.28155,847,913.865965
51.645772,477,914.966729
12.111346,415,915.956472
87.298191,988,918.008536
67.452021,1001,920.066849
3.034917,316,920.890775
45.607518,867,923.72827
9.978721,174,924.293928
2.166867,48,924.618463
76.807376,1001,926.680438
75.39962,1001,928.724206
19.673831,199,929.298273
1.750801,165,929.823259
38.675443,1001,931.872937
53.043974,1001,934.92669
80.626987,1001,936.997732
26.112804,281,937.731476
81.090341,1001,939.938735
43.535039,829,941.772002
32.402057,518,944.106643
42.833548,337,944.942654
62.841748,1001,946.995357
29.905454,241,947.683962
87.358289,1001,949.830411
19.216575,318,950.667837
7.423752,162,951.193235
92.245919,1001,954.185226
41.484022,381,955.10486
37.133474,304,955.888268
49.185723,1001,957.968811
10.675253,334,958.821807
99.085806,1001,960.892036
108.950002,1001,964.038062
67.221321,1001,966.126247
22.836306,324,966.953259
9.638609,458,968.019483
25.459896,464,969.099729
84.174137,939,971.04896
11.048169,103,971.456614
37.056485,686,973.944032
48.925739,1001,976.000469
53.990215,639,977.394043
37.002783,344,978.234613
2.850497,268,978.949739
4.400819,255,979.633474
51.620079,588,980.929567
7.643388,122,981.364014
92.944042,1001,984.531277
59.089547,545,985.748677
19.613147,324,986.576338
4.2079,111,987.000621
69.643256,1001,989.066783
11.347497,419,990.053084
80.679475,1001,992.112237
49.731132,1001,995.265452
50.762458,1001,997.330824
27.155922,965,999.327225
12.48922,118,999.765788
53.346899,816,1001.486476
50.372272,1001,1004.570195
71.216886,1001,1006.642127
1.371866,74,1006.990324
2.773779,118,1007.417981
91.625947,727,1008.978207
70.185216,1001,1011.028709
74.578327,1001,1014.157134
12.553626,158,1014.659325
24.142351,481,1015.759519
5.953782,121,1016.194807
29.045029,310,1016.979544
106.300389,918,1018.891962
24.812694,401,1019.850801
51.770895,747,1021.441399
80.686062,952,1024.504839
52.615175,1001,1026.569415
25.222925,568,1027.844861
51.303064,841,1029.600885
72.420079,1001,1031.650882
70.457061,1001,1034.735475
70.513171,1001,1036.792818
81.253484,939,1038.743622
86.225094,1001,1040.788389
67.004197,1001,1043.847178
75.80152,1001,1045.899158
40.870631,891,1047.749474
94.204035,1001,1049.804692
53.486434,1001,1052.789158
56.54357,786,1054.456196
36.666211,451,1055.4972
81.583372,1001,1057.544418
9.256142,142,1058.018674
56.424718,707,1059.524494
90.40028,1001,1062.60397
70.922118,1001,1064.67155
84.347917,1001,1066.720618
7.726541,46,1067.028623
43.268166,1001,1069.124279
143.831708,1001,1072.313531
33.250641,696,1073.851482
116.958356,1001,1075.983987
72.911825,1001,1078.089877
22.060128,257,1078.811789
83.402645,786,1080.502159
8.545986,108,1080.921824
22.985966,355,1082.777254
58.575241,1001,1084.912312
9.209953,425,1085.938323
88.991788,1001,1088.042655
40.850313,1001,1090.157442
97.464063,1001,1093.222956
22.843956,237,1093.879751
89.041031,966,1095.876799
53.300092,1001,1097.930748
22.933519,229,1098.572031
67.591611,1001,1100.627132
65.353664,1001,1103.805296
53.355304,1001,1105.901888
81.361389,1001,1108.000085
17.997214,177,1108.554759
79.749626,1001,1110.65424
71.615975,1001,1113.656518
64.815413,1001,1115.764325
76.913207,1001,1117.959067
74.699968,1001,1120.195787
40.557375,873,1123.206224
85.033581,1001,1125.373146
44.288599,519,1126.563456
81.15692,1001,1128.683845
28.60943,494,1129.829878
89.269686,1001,1132.791625
47.063683,1001,1134.866884
51.053734,749,1136.471367
43.81449,437,1137.497532
4.804224,177,1138.048402
30.362582,334,1138.892623
78.589069,1001,1141.905519
8.776608,243,1142.57332
63.839311,682,1144.065217
86.998133,1001,1146.17585
46.028002,1001,1148.251567
94.138532,1001,1151.329968
121.529285,1001,1153.416862
27.735789,294,1154.186371
81.212953,1001,1156.267024
88.032326,998,1158.343002
90.216474,1001,1161.365748
8.333394,154,1161.874399
67.663579,804,1163.605062
52.676572,640,1165.01795
109.325839,1001,1167.078365
54.7799,1001,1169.199768
74.160969,1001,1172.225863
71.823415,751,1173.908388
37.069896,1001,1176.025089
65.176825,911,1177.92863
2.552606,83,1178.296508
20.533126,318,1179.095338
64.321164,867,1181.870727
98.661626,1001,1183.93274
17.489553,246,1184.607874
44.102544,855,1186.400144
7.03931,227,1187.036637
13.589491,205,1187.630914
49.010745,1001,1189.6862
40.468547,427,1191.675013
12.308561,188,1192.251892
103.481715,1001,1194.368662
33.573446,417,1195.356759
4.577474,146,1195.837018
34.183045,362,1196.719293
30.980462,1001,1198.788401
74.979092,1001,1201.862502
56.843475,752,1203.469121
64.380893,967,1205.46004
54.627933,1001,1207.530575
96.110489,1001,1210.621652
50.383353,313,1211.410241
103.831098,1001,1213.455725
47.738484,1001,1215.630859
17.450448,180,1216.173661
18.832725,234,1216.823949
72.860113,1001,1218.869987
10.439427,202,1219.455294
3.925065,39,1219.743007
75.971917,1001,1222.808354
48.568447,514,1223.996049
21.419508,512,1225.189097
29.637116,337,1226.06018
70.203911,622,1227.516415
99.037974,1001,1229.745021
88.683473,1001,1232.938966
92.051055,1001,1235.077921
102.802518,1001,1237.231613
122.255416,1001,1239.337204
18.323924,228,1239.986467
111.923984,849,1242.767364
101.557628,1001,1244.915231
79.318667,776,1246.572347
30.730261,234,1247.241412
135.387896,1001,1249.326678
46.601807,1001,1252.392332
8.926367,86,1252.775609
8.916739,102,1253.189567
83.496883,846,1255.00873
13.524051,204,1255.623028
98.236938,1001,1257.758562
127.449844,1001,1259.877391
102.293679,1001,1262.917955
66.595447,1001,1265.020937
70.337057,1001,1267.198029
94.850124,1001,1269.31348
63.804588,1001,1272.414369
105.519908,1001,1274.570312
98.062154,1001,1276.913032
33.223369,344,1277.786533
93.98715,1001,1280.806074
103.825086,1001,1282.864229
113.297883,1001,1284.914117
12.893481,100,1285.321472
37.975789,564,1286.628749
96.936542,1001,1288.798541
126.921214,982,1291.774599
84.778727,1001,1293.879188
97.637549,1001,1296.025453
37.439084,300,1296.80398
104.82146,1001,1298.867581
55.744422,670,1301.275382
74.327196,789,1302.982455
90.87586,1001,1305.092482
88.68283,893,1307.017577
95.087993,1001,1310.048048
99.677348,1001,1312.120261
103.427224,1001,1314.210689
117.049804,1001,1316.275686
66.442382,1001,1318.349261
97.120858,1001,1321.388962
94.460563,1001,1323.568744
96.938006,1001,1325.675297
90.848334,1001,1327.861802
83.727356,1001,1331.124742
109.428811,941,1333.242618
145.311183,1001,1335.441175
102.620264,1001,1337.615385
124.122515,1001,1340.76195
54.482504,430,1341.832082
6.56278,95,1342.254685
124.628245,1001,1344.437474
45.965728,398,1345.445126
137.68952,1001,1347.619681
33.762347,229,1348.306959
2.596772,78,1348.701849
20.094957,162,1350.338727
129.099314,1001,1352.516521
25.250463,229,1353.196947
19.788003,196,1353.816569
42.399764,549,1355.118224
94.88524,1001,1357.297874
127.627635,1001,1359.363032
100.450657,1001,1362.451571
77.722122,599,1363.761699
124.407057,853,1365.556715
127.345818,1001,1367.624053
45.072986,261,1368.321251
145.519253,1001,1371.377792
91.863891,1001,1373.485815
26.394953,183,1374.063974
72.884904,1001,1376.169545
76.29665,725,1377.735916
26.227962,225,1378.376467
116.33683,1001,1381.43076
96.432868,1001,1383.523846
40.371228,464,1384.61737
7.499447,50,1384.944891
40.682993,315,1385.777857
1.845987,83,1386.172527
121.320489,874,1388.016909
139.300732,1001,1391.12055
55.760662,552,1392.363013
141.943361,1001,1394.489426
105.262258,1001,1396.573611
101.963318,1001,1398.645551
107.31027,1001,1401.766541
7.909746,183,1402.343086
82.307181,1001,1404.464979
120.422682,1001,1406.526547
116.939729,1001,1408.663994
47.155059,306,1410.662728
92.576881,1001,1412.727529
93.698514,1001,1414.834216
11.462645,92,1415.22949
51.125774,1001,1417.352871
63.984584,1001,1420.503572
87.205459,1001,1422.649462
77.069907,1001,1424.721157
12.200696,380,1425.707961
54.510426,579,1427.018321
150.762211,1001,1429.106338
113.30827,1001,1432.459994
105.896795,813,1434.166255
164.963832,1001,1436.211358
59.452301,1001,1513.252341
15.448438,222,1513.869823
142.338288,844,1516.999974
106.846947,1001,1519.166826
42.734755,345,1520.026231
139.344796,1001,1522.159712
30.53668,508,1523.354574
160.120904,1001,1526.355552
130.801056,1001,1528.441251
94.130022,1001,1530.489485
84.38929,1001,1532.545589
115.89596,1001,1558.392319
115.537389,1001,1560.468112
94.955992,1001,1562.699449
107.96737,1001,1564.792132
125.515102,1001,1567.787408
130.253742,1001,1614.366937
115.478233,1001,1616.417601
92.549306,1001,1618.738817
23.105157,229,1619.385159
138.398205,1001,1622.429782
102.539211,952,1624.420505
147.313528,1001,1626.564318
137.222047,1001,1628.630998
141.432569,1001,1631.636431
58.99378,537,1632.828557
120.786105,1001,1727.49801
133.501673,1001,1729.621001
53.26854,1001,1731.764527
69.802285,457,1734.001336
114.039426,1001,1736.086251
115.29044,1001,1738.152102
103.27837,1001,1792.436108
46.525234,357,1793.349625
68.852043,1001,1796.582242
115.343737,1001,1798.777096
120.600963,1001,1800.860076
112.658223,1001,1802.9573
131.43489,1001,1806.035683
142.862296,1001,1808.117352
12.470998,200,1808.708488
58.197638,1001,1810.740805
148.811892,1001,1819.850415
143.657338,1001,1822.988107
65.475532,782,1824.865012
96.743929,922,1826.794118
77.667188,1001,1828.875064
103.427636,1001,1831.913875
82.578308,1001,1845.18883
145.578008,1001,1847.234208
97.824052,1001,1849.533272
107.129273,1001,1854.230855
113.587594,1001,1920.169462
120.082209,1001,1922.682535
70.785488,713,1924.276236
137.709928,1001,1926.381656
115.799072,1001,1929.444107
98.944029,887,1931.27858
114.390031,1001,1933.341466
57.305781,440,1934.482656
121.480798,1001,1936.549633
154.136749,1001,1939.55097
134.226235,1001,1941.616742
169.24233,1001,1943.681804
114.990864,912,1945.583881
120.510828,913,1948.386693
138.596709,1001,1950.438471
138.380902,1001,1952.484981
136.248184,1001,1954.545619
77.050944,672,1956.983794
126.441189,1001,1959.069293
138.861929,1001,1961.111546
116.947463,1001,1963.17176
127.441316,970,1966.094181
138.284478,1001,1968.166874
95.713022,1001,1970.214242
109.457698,1001,1972.270711
128.401618,1001,1974.322467
154.119462,1001,1977.394427
103.784614,1001,1979.446625
135.030217,1001,1981.520535
117.820723,1001,1983.568401
131.054761,1001,1986.64696
63.063487,434,1987.654398
185.390587,1001,1989.716351
10.277403,220,1990.328461
98.382551,1001,1992.387817
131.844089,1001,1995.459661
159.554412,1001,1997.517142
177.248166,1001,1999.562767
104.727946,1001,2001.622104
18.222956,91,2002.004451
117.495496,990,2004.987545
132.180895,1001,2007.034229
153.813051,1001,2009.099643
153.065516,1001,2011.224276
151.022591,1001,2014.293571
106.505069,1001,2016.372867
112.360553,1001,2018.503313
147.870029,1001,2020.5832
132.789787,1001,2023.636506
96.019638,1001,2025.711759
122.351064,1001,2027.865946
148.57181,901,2029.757034
115.075774,1001,2032.929801
158.685314,1001,2035.030987
7.298919,82,2035.419625
91.388606,1001,2037.529135
166.761295,1001,2039.599704
111.247118,1001,2042.7046
160.570007,1001,2044.829452
154.67248,1001,2046.99612
132.957004,1001,2049.137263
10.602363,206,2049.745303
119.188738,1001,2052.986817
142.020532,1001,2055.105727
110.85128,1001,2057.446778
91.053903,1001,2059.674055
6.795161,94,2060.097857
58.530378,1001,2063.205957
61.989259,565,2064.4994
141.059485,1001,2066.652428
142.252411,1001,2068.790933
155.752427,921,2070.748998
51.0835,321,2071.561734
76.333661,556,2073.886636
144.436027,1001,2076.032362
152.612021,1001,2078.106651
160.132672,1001,2080.22111
75.0479,1001,2083.346015
103.783271,674,2084.863169
168.133341,1001,2086.971345
128.978491,1001,2089.087109
112.855733,1001,2091.173228
189.533075,1001,2094.367843
188.468879,1001,2096.454185
153.502933,1001,2098.535412
180.646235,1001,2100.611508
143.267123,1001,2103.81221
116.69736,1001,2105.8765
147.8666,1001,2107.92934
112.604437,1001,2109.984463
33.084184,1001,2113.347731
95.867105,1001,2115.406168
182.135325,1001,2117.472308
136.442358,1001,2119.519258
192.155152,1001,2122.794621
22.632582,145,2123.394689
125.668368,1001,2125.620078
158.669549,1001,2127.754441
102.466908,1001,2130.147083
90.074443,651,2132.789716
145.621373,1001,2135.062177
152.629248,1001,2137.305019
125.056881,1001,2139.663432
148.118006,1001,2143.098136
55.809214,382,2144.073029
21.779614,154,2144.607782
132.339373,1001,2146.74736
156.969904,1001,2148.895766
126.34379,1001,2151.002797
161.538325,1001,2154.291605
176.67538,1001,2156.553156
153.981578,1001,2158.781884
20.413943,202,2159.426629
139.279464,1001,2161.582506
174.534107,1001,2165.10458
147.07255,1001,2167.362942
21.98453,241,2168.059733
169.269067,1001,2170.217455
195.305458,1001,2172.387953
98.798965,1001,2175.507383
138.514196,1001,2177.609554
177.554849,1001,2179.716705
166.74728,1001,2181.818638
36.387242,492,2183.896029
197.039052,1001,2186.012512
30.761215,359,2186.96803
153.672814,975,2189.158638
146.148803,1001,2191.400798
135.940665,1001,2194.867544
164.455604,1001,2197.04047
140.148289,1001,2199.212563
48.177654,235,2199.900523
